id,titulo,categoria,historia,tempo_estimado,nivel,status,ordem,causas_reais,causas_distratoras,created_at,updated_at,gs_project_id,gs_table_name
desafio-dona-joana,O Desafio da Dona Joana,Sustentabilidade,"A merendeira Dona Joana está preocupada com o desperdício de comida na escola. A horta está abandonada, o cardápio é repetitivo e o orçamento é curto. Todos os dias, uma grande quantidade de comida vai para o lixo, enquanto o orçamento da cantina continua apertado e as crianças reclamam que a comida é sempre a mesma.",30 minutos,Médio,Publicado,1,"[""O cardápio é repetitivo e pouco atrativo para os alunos"",""A horta da escola está abandonada e sem produção"",""Não há engajamento dos alunos com a alimentação escolar"",""O orçamento da cantina é curto, limitando a variedade de compras""]","[""Os alunos não gostam de nenhum tipo de comida saudável"",""A escola não tem cozinha equipada"",""Não existe verba pública nenhuma destinada à merenda"",""O problema é exclusivamente culpa da Dona Joana""]",1784175986595,1784175986595,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-torneira-nunca-fecha,O Mistério da Torneira que Nunca Fecha,Sustentabilidade,"Pedro é um aluno do 9º ano que adora ciências. Toda manhã, ao chegar à escola, ele passa pelo pátio dos fundos e vê a mesma cena: uma torneira do bebedouro pingando sem parar. Um dia, durante a aula de matemática, a professora lançou um desafio: ""Se uma torneira pinga uma gota por segundo, quantos litros de água são desperdiçados em um mês?"". Pedro fez as contas e se assustou: eram mais de 2.000 litros! Ele decidiu investigar e descobriu que o problema não era só a torneira. O bebedouro estava mal localizado, quase ninguém o usava, e a água acumulada criava poças onde mosquitos se proliferavam. A diretora já havia chamado a manutenção três vezes, mas o conserto nunca durava mais do que uma semana. Pedro reuniu alguns amigos e resolveu pensar em uma solução que fosse além de simplesmente apertar a torneira.",30 minutos,Médio,Publicado,2,"[""A torneira do bebedouro tem um defeito mecânico que a manutenção nunca resolveu de forma definitiva."",""O bebedouro está mal localizado, o que faz com que quase ninguém o utilize corretamente."",""A água que pinga se acumula em poças, favorecendo a proliferação de mosquitos."",""Falta um sistema de reaproveitamento da água que se perde, mesmo com o conserto temporário.""]","[""Os alunos não gostam de beber água do bebedouro."",""A escola não tem verba nenhuma para qualquer tipo de manutenção."",""O calor da região faz a água evaporar rápido, por isso parece haver desperdício.""]",1784230264116,1784230264116,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-escola-desconectada,A Escola Desconectada,Tecnologia,"Marina é uma aluna do 1º ano do Ensino Médio que adora tecnologia. Ela sempre chega cedo à escola e nota que muitos colegas têm dificuldade para acessar informações básicas: qual sala terá aula, se o professor faltou, se há eventos no dia. A escola tem um site, mas ele está desatualizado desde 2019. O mural de avisos é uma confusão de papéis sobrepostos. Os grupos de WhatsApp das turmas vivem cheios de mensagens repetidas e ninguém sabe ao certo o que é oficial. Marina percebeu que a desinformação gera atrasos, frustração e até conflitos. Ela quer criar uma solução tecnológica simples e acessível que organize a comunicação da escola.",30 minutos,Médio,Publicado,3,"[""O site oficial da escola está desatualizado desde 2019 e não é mais consultado por ninguém."",""O mural de avisos físico acumula informações sobrepostas e desorganizadas."",""Não existe um canal oficial único, o que faz os grupos de WhatsApp virarem uma bagunça de informações não confirmadas."",""A escola não tem um responsável definido para centralizar e validar as informações antes de divulgá-las.""]","[""Os alunos não têm interesse em se informar sobre a rotina escolar."",""A internet da escola é lenta demais para qualquer solução digital funcionar."",""Os professores se esquecem com frequência de avisar sobre mudanças de horário.""]",1784230264116,1784230264116,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-robo-conselheiro,O Robô Conselheiro,IA,"Rafael é um estudante do 2º ano do Ensino Médio que sempre foi o ""técnico de informática"" da família. Toda semana, algum vizinho bate na sua porta pedindo ajuda: ""Rafael, meu celular está lento"", ""Rafael, como faço para agendar uma consulta no postinho pelo site?"", ""Rafael, caí num golpe no WhatsApp, e agora?"". Rafael percebeu que muitos moradores do bairro — especialmente os mais idosos — têm smartphones, mas não sabem usá-los com segurança. Eles têm medo de golpes, não conhecem os serviços públicos digitais e se sentem excluídos. A escola tem um laboratório de informática que fica ocioso à tarde. Rafael quer criar algo que ajude a comunidade a se conectar com segurança ao mundo digital.",30 minutos,Médio,Publicado,4,"[""Muitos moradores, especialmente idosos, têm smartphones mas nunca receberam orientação sobre como usá-los com segurança."",""A comunidade não conhece os serviços públicos digitais disponíveis (como agendamento de consultas)."",""Não existe nenhum canal acessível e permanente de apoio para tirar dúvidas tecnológicas no bairro."",""A falta de conhecimento sobre golpes digitais deixa os moradores vulneráveis a fraudes.""]","[""Os moradores não têm interesse nenhum em aprender tecnologia."",""Os smartphones que os moradores possuem são modelos antigos demais para qualquer aplicativo funcionar."",""A escola não tem autorização para ensinar tecnologia para pessoas de fora da comunidade escolar.""]",1784230264116,1784230264116,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-bazar-que-ninguem-ve,O Bazar que Ninguém Vê,Empreendedorismo,"Dona Célia é uma costureira aposentada que mora ao lado da escola. Durante a pandemia, ela começou a fazer máscaras de tecido para vender e descobriu um talento que não sabia que tinha: criar bolsas, necessaires e acessórios com retalhos que sobravam das confecções do bairro. Hoje, ela tem uma pequena produção, mas não sabe como divulgar. Vende apenas para conhecidos, a preços muito baixos, e mal cobre os custos. Os alunos da escola descobriram o trabalho de Dona Célia durante uma atividade de campo e perceberam que o bairro está cheio de pequenos produtores como ela — pessoas talentosas que não sabem empreender. Eles querem criar uma solução que ajude esses microempreendedores a divulgar seus produtos, calcular preços e acessar novos mercados.",30 minutos,Médio,Publicado,5,"[""Dona Célia e outros produtores locais não sabem como divulgar seus produtos para além do círculo de conhecidos."",""Os produtos são vendidos a preços muito baixos porque os produtores não sabem calcular custos e margem de lucro."",""Não existe nenhum espaço ou canal que conecte os pequenos produtores do bairro a novos compradores."",""Os produtores trabalham de forma isolada, sem trocar experiências ou se apoiar entre si.""]","[""Os produtos de Dona Célia têm qualidade inferior aos vendidos em lojas."",""O bairro não tem pessoas interessadas em comprar produtos artesanais."",""Falta matéria-prima (retalhos de tecido) para a produção continuar.""]",1784232157343,1784232157343,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-silencio-que-adoece,O Silêncio que Adoece,Ciências,"Larissa é uma aluna do 9º ano que sempre foi comunicativa e animada. Nos últimos meses, porém, seus amigos notaram que ela anda calada, faltando às aulas e evitando o recreio. Quando questionada, ela desconversa. A professora de Ciências, preocupada, propôs uma roda de conversa sobre saúde mental e descobriu que Larissa não é a única: muitos alunos relatam ansiedade, cobrança excessiva, solidão e dificuldade para lidar com as redes sociais. A escola não tem um psicólogo regular, e os alunos não sabem a quem recorrer. Um grupo de estudantes decidiu criar uma solução para apoiar a saúde mental dos colegas — algo que acolha, informe e oriente, respeitando o anonimato de quem não quer se expor.",30 minutos,Médio,Publicado,6,"[""A escola não tem psicólogo ou profissional de saúde mental disponível regularmente."",""Os alunos não sabem a quem recorrer quando estão enfrentando dificuldades emocionais."",""Existe um estigma que faz os alunos evitarem falar abertamente sobre seus sentimentos."",""Não há nenhum canal que garanta anonimato para quem não quer se expor ao pedir ajuda.""]","[""Larissa está apenas cansada porque não dorme bem."",""Os alunos só querem chamar atenção quando dizem que estão ansiosos."",""A escola tem professores insensíveis que não se importam com os alunos.""]",1784232157343,1784232157343,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-biblioteca-esquecida,A Biblioteca Esquecida,Criatividade,"A biblioteca da escola é um lugar silencioso — silencioso demais. Apesar de ter um acervo razoável, quase ninguém a frequenta. Os livros estão desatualizados, o espaço é escuro e pouco acolhedor, e a bibliotecária, Dona Fátima, passa a maior parte do tempo sozinha. Um grupo de alunos do 8º ano fez uma enquete e descobriu que 85% dos colegas nunca pegaram um livro emprestado. Os motivos? ""Não sei o que tem lá"", ""É chato"", ""Prefiro ler no celular"". A escola não tem verba para reformar o espaço, mas os alunos acreditam que é possível transformar a biblioteca em um lugar vibrante de aprendizado — e, de quebra, melhorar o hábito de leitura de toda a escola.",30 minutos,Médio,Publicado,7,"[""O acervo da biblioteca está desatualizado e não interessa aos alunos."",""Os alunos não sabem quais livros a biblioteca tem disponível."",""O espaço físico é pouco convidativo, escuro e desorganizado."",""Não existe nenhuma atividade ou programação que aproxime os alunos da leitura.""]","[""Os alunos de hoje simplesmente não gostam de ler."",""A bibliotecária Dona Fátima não sabe organizar o acervo."",""A escola não tem nenhum livro interessante para os alunos.""]",1784232157343,1784232157343,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-praca-abandonada,A Praça Abandonada,Liderança,"A Praça São Lucas, a duas quadras da escola, já foi o ponto de encontro do bairro. Hoje, está irreconhecível: bancos quebrados, iluminação precária, mato alto e lixo acumulado. Os moradores evitam o local, especialmente à noite, com medo da violência. As crianças não têm onde brincar, e os idosos perderam seu espaço de convivência. A associação de moradores já tentou falar com a prefeitura várias vezes, sem sucesso. Um grupo de alunos do Ensino Médio, que estudou o Estatuto da Cidade nas aulas de Sociologia, decidiu agir. Eles acreditam que a revitalização da praça pode devolver ao bairro não apenas um espaço de lazer, mas também o senso de comunidade e pertencimento.",30 minutos,Médio,Publicado,8,"[""A prefeitura nunca destinou verba de manutenção contínua para a praça"",""Os bancos e a iluminação estão quebrados há anos sem reparo"",""O mato alto e o lixo acumulado afastam os moradores, especialmente à noite"",""A associação de moradores não tem canal de resposta eficaz com o poder público"",""A falta de uso constante da praça gerou ainda mais abandono e insegurança""]","[""Os moradores não gostam de espaços públicos"",""A praça é pequena demais para qualquer atividade"",""Não existem crianças suficientes no bairro para justificar o investimento"",""A prefeitura já reformou a praça recentemente""]",1784232839922,1784232839922,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-memorias-que-o-tempo-apaga,As Memórias que o Tempo Apaga,Criatividade,"Seu Antônio tem 82 anos e é o morador mais antigo do bairro. Ele conhece cada esquina, cada casa, cada história. Sabe quem construiu a primeira capela, onde ficava o cinema antigo, qual era o time de futebol de várzea que fazia sucesso nos anos 1960. Mas Seu Antônio está cansado. Seus filhos se mudaram, seus amigos de juventude estão partindo, e ele tem medo de que, quando se for, todas essas memórias desapareçam junto com ele. Um grupo de alunos do Ensino Médio, durante uma atividade de História oral, entrevistou Seu Antônio e percebeu a riqueza do que ele guarda. Eles querem criar um projeto para preservar e compartilhar a memória do bairro — não apenas para Seu Antônio, mas para todas as pessoas que construíram a história do lugar onde vivem.",30 minutos,Médio,Publicado,9,"[""Os moradores mais antigos, como Seu Antônio, estão envelhecendo e não têm com quem compartilhar suas histórias"",""Não existe nenhum registro escrito, em vídeo ou digital da história oral do bairro"",""As famílias mais jovens se mudaram e perderam contato com a memória local"",""A escola nunca promoveu atividades de resgate da memória da comunidade""]","[""Os jovens não têm interesse nenhum em história"",""Não existem fotos antigas do bairro"",""A prefeitura já tem um museu da cidade que documenta tudo""]",1784232839922,1784232839922,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-transporte-que-divide,O Transporte que Divide,Empreendedorismo,"Todos os dias, dezenas de alunos da Escola Estadual Professor Carvalho enfrentam o mesmo problema: o transporte público. O ônibus que passa perto da escola é apenas uma linha, que opera em horários irregulares e não atende todos os bairros. Muitos alunos chegam atrasados ou perdem as primeiras aulas. Outros dependem de caronas eventuais, e alguns simplesmente faltam quando chove, porque o ponto de ônibus não tem cobertura. A escola fica num bairro periférico, e a maioria das famílias não tem carro. Durante uma aula de Geografia sobre mobilidade urbana, os alunos perceberam que o problema não é só deles — é estrutural. Eles querem criar uma solução que melhore a mobilidade dos estudantes e, ao mesmo tempo, gere dados para pressionar o poder público por melhorias permanentes.",30 minutos,Médio,Publicado,10,"[""A linha de ônibus que serve o bairro é única e opera em horários irregulares"",""A escola fica em uma região periférica sem outras opções de transporte público"",""Os pontos de ônibus não têm cobertura, dificultando o acesso em dias de chuva"",""A maioria das famílias não possui carro próprio"",""Não existem dados organizados sobre atrasos e faltas para pressionar melhorias públicas""]","[""Os alunos preferem chegar atrasados de propósito"",""A escola poderia simplesmente mudar o horário de início das aulas para resolver tudo"",""Não há qualquer interesse dos alunos em resolver isso""]",1784232839922,1784232839922,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-papel-amassado,O Papel Amassado,Sustentabilidade,"Toda sexta-feira, Dona Marta, a faxineira, enche dois sacos enormes com folhas de papel que os alunos jogam no lixo. A maioria são folhas usadas só de um lado, provas antigas e rascunhos amassados. Ela sabe que aquilo poderia ser reaproveitado, mas não tem tempo para separar. A escola não tem um sistema de coleta seletiva, e o papel misturado com restos de comida acaba no aterro sanitário. Um grupo de alunos do 6º ano percebeu a situação e quer fazer algo simples e rápido para mudar esse cenário.",20 minutos,Fácil,Publicado,11,"[""Não existe sistema de coleta seletiva de papel na escola"",""Muitas folhas usadas de um lado só são descartadas sem reaproveitamento"",""Os alunos não têm o hábito de separar papel do lixo comum"",""Dona Marta não tem tempo disponível para separar o material sozinha""]","[""Os alunos usam pouco papel no dia a dia"",""A escola não gera lixo o suficiente para justificar um projeto"",""Reciclagem de papel não compensa financeiramente""]",1784232839922,1784232839922,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-som-que-atrapalha,O Som que Atrapalha,Tecnologia,"Nas salas do corredor principal, o barulho durante as aulas é constante: conversas altas, arrastar de carteiras, portas batendo. Os professores precisam elevar a voz e, mesmo assim, os alunos das fileiras do fundo reclamam que não escutam bem. A escola não tem dinheiro para reforma acústica. Um grupo de alunos do 7º ano, que está aprendendo sobre ondas sonoras em Ciências, quer criar uma solução simples e barata para reduzir o ruído nas salas.",20 minutos,Fácil,Publicado,12,"[""A escola não tem isolamento acústico ou reforma nas salas"",""Os alunos conversam alto e arrastam carteiras sem se dar conta do impacto sonoro"",""As portas batem sem nenhum mecanismo de amortecimento"",""Os alunos do fundo da sala não conseguem ouvir bem o professor por causa do ruído ambiente""]","[""Os professores não sabem dar aula"",""A sala é grande demais para qualquer solução funcionar"",""Os alunos das fileiras do fundo têm problema de audição""]",1784233730522,1784233730522,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-prova-que-ninguem-entendeu,A Prova que Ninguém Entendeu,IA,"O professor de História passou uma prova difícil e, quando devolveu as notas, metade da turma foi mal. Os alunos alegaram que as perguntas eram confusas e que não tiveram tempo para estudar direito. O professor disse que a prova estava clara. Para evitar que isso se repita, um grupo de alunos quer criar um assistente virtual simples que ajude os colegas a entender as questões das provas e a organizar o tempo de estudo, sem dar respostas prontas.",20 minutos,Fácil,Publicado,13,"[""As questões da prova estavam formuladas de forma confusa para os alunos"",""Os alunos não tiveram tempo suficiente para organizar os estudos antes da prova"",""Não existe um canal de tira-dúvidas disponível fora do horário de aula"",""Os alunos não têm o hábito de revisar o conteúdo com antecedência""]","[""O professor não gosta dos alunos"",""A matéria de História é sempre difícil para todo mundo"",""Os alunos não estudaram porque preferem jogar videogame""]",1784233730522,1784233730522,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-doce-que-ninguem-compra,O Doce que Ninguém Compra,Empreendedorismo,"Dona Vera é a doceira mais famosa do bairro, mas suas vendas caíram porque ela não sabe usar o celular para divulgar os produtos. Seus brigadeiros, bolos e cocadas são deliciosos, mas só quem passa em frente à sua janela sabe que ela vende. Os alunos da escola, que adoram os doces dela, querem ajudar Dona Vera a divulgar seu trabalho usando ferramentas simples e gratuitas, e de quebra aprender como ajudar outros pequenos comerciantes do bairro.",20 minutos,Fácil,Publicado,14,"[""Dona Vera não sabe usar ferramentas digitais para divulgar seus produtos"",""Só quem passa fisicamente em frente à casa dela sabe que ela vende doces"",""Não existe nenhum canal de contato rápido (como WhatsApp) para fazer encomendas"",""Pequenos comerciantes do bairro enfrentam a mesma dificuldade de divulgação""]","[""Os doces de Dona Vera não são mais tão bons quanto antes"",""Não existe demanda no bairro por doces caseiros"",""Dona Vera cobra caro demais pelos produtos""]",1784233730522,1784233730522,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-merenda-que-sobra,A Merenda que Sobra,Ciências,"No refeitório da escola, todo dia é a mesma cena: frutas inteiras, pães e legumes voltam para a cozinha praticamente intocados. As crianças preferem comer salgadinhos e doces trazidos de casa, e a merendeira, Dona Fátima, fica triste vendo o desperdício. A nutricionista da escola explica que aqueles alimentos são essenciais para a saúde, mas o sabor e a apresentação não agradam os alunos. Um grupo do 5º ano quer melhorar a aceitação da merenda sem gastar dinheiro extra.",20 minutos,Fácil,Publicado,15,"[""O sabor e a apresentação dos alimentos saudáveis não agradam visualmente os alunos"",""Os alunos preferem trazer salgadinhos e doces de casa em vez de comer a merenda"",""Não existe um processo participativo dos alunos na escolha/apresentação do cardápio"",""Faltam campanhas educativas contínuas sobre a importância da alimentação saudável""]","[""A comida da escola é de má qualidade nutricional"",""Dona Fátima não sabe cozinhar bem"",""Não há verba nenhuma disponível para a merenda""]",1784233730522,1784233730522,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-recreio-sem-graca,O Recreio Sem Graça,Criatividade,"O recreio da escola é sempre igual: os alunos ficam no pátio, correm um pouco e, quando chove, todos se amontoam nos corredores porque a quadra fica escorregadia. Não há jogos, brinquedos ou atividades organizadas. Um grupo de alunos do 4º ano sente falta de coisas divertidas para fazer durante os 20 minutos de intervalo e quer criar opções simples e baratas para deixar o recreio mais animado.",20 minutos,Fácil,Publicado,16,"[""Não existem jogos, brinquedos ou atividades organizadas disponíveis no recreio"",""A quadra fica escorregadia e inutilizável em dias de chuva, sem alternativa coberta"",""Não há nenhum espaço ou estrutura pensada para tornar o intervalo mais dinâmico"",""Os alunos não têm papel ativo na organização do próprio tempo de lazer na escola""]","[""Os alunos não gostam de brincar"",""O pátio é pequeno demais para qualquer atividade"",""A escola já tem uma boa estrutura de lazer, só falta divulgação""]",1784233730522,1784233730522,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-muro-que-ninguem-ve,O Muro que Ninguém Vê,Liderança,"O muro lateral da escola está pichado e sujo há meses. Os vizinhos reclamam, mas ninguém toma providência. Os alunos do 9º ano acham que o muro poderia ser um cartão postal do bairro, e não um ponto de descuido. Eles querem revitalizar o muro com arte e, ao mesmo tempo, conscientizar sobre o respeito ao patrimônio público.",20 minutos,Fácil,Publicado,17,"[""O muro ficou pichado e sujo por meses sem qualquer intervenção da comunidade ou da prefeitura"",""Não existe um responsável definido pela manutenção e conservação do espaço"",""A falta de cuidado com o local incentiva novos atos de vandalismo"",""Os moradores reclamam mas não têm um canal organizado para cobrar providências""]","[""Os moradores gostam da aparência atual do muro"",""A escola não tem interesse na aparência do bairro"",""Não existe tinta ou material disponível em lugar nenhum da cidade""]",1784234746681,1784234746681,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-festa-junina-que-quase-acabou,A Festa Junina que Quase Acabou,Criatividade,"A tradicional festa junina da escola corre o risco de não acontecer por falta de voluntários e ideias novas. As barracas estão repetitivas, poucos pais participam e os alunos mais velhos acham 'coisa de criança'. Um grupo de alunos do 8º ano quer resgatar a festa, valorizando a cultura local e envolvendo toda a comunidade escolar de um jeito novo, mas mantendo as tradições.",20 minutos,Fácil,Publicado,18,"[""Falta de voluntários para organizar as barracas e atividades da festa"",""As barracas são repetitivas ano após ano, sem novidades que atraiam o público"",""Os alunos mais velhos não se sentem representados na programação atual"",""Poucos pais participam ativamente da organização do evento""]","[""Os alunos não gostam de festas tradicionais"",""A direção decidiu cancelar a festa definitivamente"",""Não existe verba nenhuma disponível para qualquer atividade cultural""]",1784234746681,1784234746681,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
desafio-caminho-da-escola,O Caminho da Escola,Empreendedorismo,"Muitos alunos que moram nos bairros vizinhos chegam atrasados porque a única linha de ônibus que passa perto da escola vive lotada e não tem horário fixo. Quem mora mais longe precisa andar quase 20 minutos do ponto até o portão, e em dias de chuva a situação piora. Os alunos do 7º ano querem criar uma solução simples para melhorar a pontualidade e a segurança no trajeto.",20 minutos,Fácil,Publicado,19,"[""Existe apenas uma linha de ônibus disponível, que opera lotada e sem horário fixo"",""O trajeto a pé do ponto de ônibus até a escola é longo, cerca de 20 minutos"",""Não há informação organizada sobre horários e rotas alternativas"",""Em dias de chuva, o problema de deslocamento se agrava significativamente""]","[""Os alunos chegam atrasados de propósito"",""A escola poderia simplesmente atrasar o horário de entrada para resolver tudo"",""Não existe interesse real dos alunos em resolver a mobilidade""]",1784234746681,1784234746681,12c315b2-ad5c-45ab-bca1-36549e202d22,hack_desafios
